Test Data File:F:/New Log table/CAMELLIA_P5K5 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.993328648230683   	Random
02. Frequency Test within a Block                 	0.46737183002572236 	Random
03. Run Test                                      	0.5416089988182424  	Random
04. Longest Run of Ones in a Block                	0.9108064473681766  	Random
05. Binary Matrix Rank Test                       	0.6914529748995133  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8584120306066552  	Random
07. Non-Overlapping Template Matching Test        	0.8475066467226817  	Random
08. Overlapping Template Matching Test            	0.5222254862406114  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.8919647704674417  	Random
11. Serial test:
													0.2534475643883836  	Random
													0.19017077024676818 	Random
12. Approximate Entropy Test                      	0.0366937267270355  	Random
13. Cummulative Sums (Forward) Test               	0.7391649017288524  	Random
14. Cummulative Sums (Reverse) Test               	0.7469972704411108  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	5.348240897147874   	0.3748738288915241  	Random
				-3        	9.580901115241641   	0.08801941132093302 	Random
				-2        	7.198815916288035   	0.20626905488558336 	Random
				-1        	10.271375464684015  	0.06790112223189985 	Random
				+1        	1.1338289962825279  	0.9510658511778027  	Random
				+2        	8.083482491165269   	0.15169436203755704 	Random
				+3        	4.222459479553903   	0.517851953301241   	Random
				+4        	3.9706612331602846  	0.5536477249007887  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	196                 	0.44527192759554635 	Random
				-8.0      	203                 	0.46252517960158746 	Random
				-7.0      	196                 	0.38272245894703383 	Random
				-6.0      	185                 	0.274867177517378   	Random
				-5.0      	203                 	0.3428814097873726  	Random
				-4.0      	232                 	0.5465601778808702  	Random
				-3.0      	270                 	0.9846171425977078  	Random
				-2.0      	300                 	0.4403327328267451  	Random
				-1.0      	285                 	0.490314319669069   	Random
				+1.0      	261                 	0.7301661743379915  	Random
				+2.0      	215                 	0.17890563177053287 	Random
				+3.0      	183                 	0.09728835269626318 	Random
				+4.0      	180                 	0.14698232412125994 	Random
				+5.0      	211                 	0.40455198177357454 	Random
				+6.0      	255                 	0.8555928657449581  	Random
				+7.0      	258                 	0.8953548460859009  	Random
				+8.0      	249                 	0.8238196784117149  	Random
				+9.0      	222                 	0.6231058711933852  	Random
