Test Data File:F:/New Log table/CAMELLIA_P8K8 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.7719688056663568  	Random
02. Frequency Test within a Block                 	0.8315484245634087  	Random
03. Run Test                                      	0.25202639866114696 	Random
04. Longest Run of Ones in a Block                	0.5358041679231574  	Random
05. Binary Matrix Rank Test                       	0.16614532230937656 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8382808930939456  	Random
07. Non-Overlapping Template Matching Test        	0.8712807665746286  	Random
08. Overlapping Template Matching Test            	0.7878672313879226  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.24600847608108964 	Random
11. Serial test:
													0.3736865075434063  	Random
													0.8445901021709447  	Random
12. Approximate Entropy Test                      	0.021274352028666118	Random
13. Cummulative Sums (Forward) Test               	0.9134983563735763  	Random
14. Cummulative Sums (Reverse) Test               	0.9904586111840232  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.1843941428899     	0.523184804895425   	Random
				-3        	3.7758022471910113  	0.5821249651969673  	Random
				-2        	6.309751699264808   	0.27723464724472174 	Random
				-1        	1.0674157303370786  	0.9569470333941874  	Random
				+1        	10.078651685393258  	0.07303711371112494 	Random
				+2        	12.217367179913996  	0.03192773369365841 	Random
				+3        	13.320467415730338  	0.02055375522492828 	Random
				+4        	9.95438698295186    	0.07653803549474003 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	125                 	0.5128301151403383  	Random
				-8.0      	128                 	0.45039289354578116 	Random
				-7.0      	127                 	0.42955450909802884 	Random
				-6.0      	127                 	0.3904669981878063  	Random
				-5.0      	116                 	0.49994358369975467 	Random
				-4.0      	104                 	0.6708771157703787  	Random
				-3.0      	94                  	0.8668976716121827  	Random
				-2.0      	76                  	0.573731117625033   	Random
				-1.0      	77                  	0.3684193918819577  	Random
				+1.0      	115                 	0.051321417487387305	Random
				+2.0      	158                 	0.0028272472415254452	Non-Random
				+3.0      	188                 	0.0009050636044692484	Non-Random
				+4.0      	207                 	0.0008290868875335827	Non-Random
				+5.0      	210                 	0.002501903353522939	Non-Random
				+6.0      	218                 	0.0035534591069262184	Non-Random
				+7.0      	234                 	0.0025757384805776265	Non-Random
				+8.0      	247                 	0.0022300825455981517	Non-Random
				+9.0      	274                 	0.0007707787605377456	Non-Random
