Test Data File:F:/New Log table/Camellia_P14K14 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.5738322403938652  	Random
02. Frequency Test within a Block                 	0.698287227842185   	Random
03. Run Test                                      	0.8782348820181392  	Random
04. Longest Run of Ones in a Block                	0.60562564970259    	Random
05. Binary Matrix Rank Test                       	0.8964248982879949  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.4065620819264686  	Random
07. Non-Overlapping Template Matching Test        	0.9138649301063313  	Random
08. Overlapping Template Matching Test            	0.27374784354170273 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.9176504748296016  	Random
11. Serial test:
													0.46803020333376066 	Random
													0.352125809961049   	Random
12. Approximate Entropy Test                      	0.9229717852547511  	Random
13. Cummulative Sums (Forward) Test               	0.25508525604605337 	Random
14. Cummulative Sums (Reverse) Test               	0.6648307054100615  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.2004386358004835  	0.5209334732979443  	Random
				-3        	4.905215189873416   	0.4275571454409467  	Random
				-2        	7.995468041881544   	0.15648556960328142 	Random
				-1        	0.5189873417721519  	0.9914115435246558  	Random
				+1        	6.4683544303797476  	0.26327404160150497 	Random
				+2        	3.145335208626348   	0.6775908367763043  	Random
				+3        	1.8914227848101268  	0.8639555597215989  	Random
				+4        	2.3267889434254716  	0.8023244002623521  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	51                  	0.5890158414453652  	Random
				-8.0      	50                  	0.55137911813227    	Random
				-7.0      	54                  	0.5812089178826477  	Random
				-6.0      	67                  	0.7734665715393156  	Random
				-5.0      	64                  	0.6907933621096054  	Random
				-4.0      	51                  	0.39982227173458107 	Random
				-3.0      	45                  	0.2264071912199498  	Random
				-2.0      	63                  	0.4623977553582126  	Random
				-1.0      	80                  	0.9365906071613355  	Random
				+1.0      	85                  	0.633124039898682   	Random
				+2.0      	93                  	0.5201973036374161  	Random
				+3.0      	102                 	0.4131840353818338  	Random
				+4.0      	119                 	0.2290655078950966  	Random
				+5.0      	130                 	0.17623224021150952 	Random
				+6.0      	148                 	0.09790424117455582 	Random
				+7.0      	143                 	0.15790682909627096 	Random
				+8.0      	109                 	0.5377387568695102  	Random
				+9.0      	99                  	0.699569274289384   	Random
