Test Data File:F:/New Log table/Clefia_P3K3 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.0                 	Non-Random
02. Frequency Test within a Block                 	0.0                 	Non-Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	3.9906562612040915e-254	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	1.4008737953555378e-75	Non-Random
08. Overlapping Template Matching Test            	5.520203047934823e-64	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.01916266122886909 	Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	0.0                 	Non-Random
14. Cummulative Sums (Reverse) Test               	0.0                 	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	0.7059558517284465  	0.9826402055223541  	Random
				-3        	4.750000000000001   	0.4471459016395011  	Random
				-2        	14.166666666666666  	0.014584678208247392	Random
				-1        	2.75                	0.7384611787603712  	Random
				+1        	4.25                	0.5140118424932223  	Random
				+2        	6.833333333333334   	0.23333354167111525 	Random
				+3        	1.6                 	0.9012493445012736  	Random
				+4        	1.1428571428571428  	0.9502405577506894  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	10                  	0.9034789137192296  	Random
				-8.0      	14                  	0.6985353583033387  	Random
				-7.0      	17                  	0.532602812936474   	Random
				-6.0      	14                  	0.6510766340778344  	Random
				-5.0      	8                   	1.0                 	Random
				-4.0      	5                   	0.776814004155482   	Random
				-3.0      	2                   	0.5023349543605022  	Random
				-2.0      	3                   	0.47048642205878966 	Random
				-1.0      	7                   	0.8025873486341526  	Random
				+1.0      	7                   	0.8025873486341526  	Random
				+2.0      	4                   	0.5637028616507731  	Random
