Test Data File:F:/New Log table/DES_P11K11 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.6320465444039076  	Random
02. Frequency Test within a Block                 	0.6395321887124906  	Random
03. Run Test                                      	0.37234418681776715 	Random
04. Longest Run of Ones in a Block                	0.07979689772619555 	Random
05. Binary Matrix Rank Test                       	0.3772723616328169  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8757465566921714  	Random
07. Non-Overlapping Template Matching Test        	0.10985605867693905 	Random
08. Overlapping Template Matching Test            	0.32632018074471436 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.7878512551949721  	Random
11. Serial test:
													0.46284073182396324 	Random
													0.4475369301937691  	Random
12. Approximate Entropy Test                      	0.44942103782205417 	Random
13. Cummulative Sums (Forward) Test               	0.6553112747460883  	Random
14. Cummulative Sums (Reverse) Test               	0.9290845118548723  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.048842982090795   	0.5424054213862455  	Random
				-3        	4.961267200000002   	0.4206254816293259  	Random
				-2        	2.998024691358025   	0.7002903895834918  	Random
				-1        	1.8159999999999998  	0.8739737930911423  	Random
				+1        	5.352               	0.3744475886358476  	Random
				+2        	5.278320987654321   	0.382866078392982   	Random
				+3        	10.123532800000003  	0.07180971798356368 	Random
				+4        	2.7786255726780515  	0.734069222661098   	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	225                 	0.1250468801311005  	Random
				-8.0      	221                 	0.11695736428650687 	Random
				-7.0      	210                 	0.13596185385464704 	Random
				-6.0      	196                 	0.17576289857711358 	Random
				-5.0      	181                 	0.23776815802822793 	Random
				-4.0      	169                 	0.2928907792991773  	Random
				-3.0      	145                 	0.5716076449533316  	Random
				-2.0      	133                 	0.7701958714564099  	Random
				-1.0      	126                 	0.9495709711511051  	Random
				+1.0      	130                 	0.7518296340458492  	Random
				+2.0      	129                 	0.8838745372567066  	Random
				+3.0      	120                 	0.8875370839817152  	Random
				+4.0      	103                 	0.5989572802935663  	Random
				+5.0      	98                  	0.569213649473711   	Random
				+6.0      	116                 	0.8637337151717132  	Random
				+7.0      	124                 	0.9860048966506194  	Random
				+8.0      	144                 	0.7563566306531099  	Random
				+9.0      	163                 	0.5599650696267267  	Random
