Test Data File:F:/New Log table/DES_P1K1 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.5204234194425368  	Random
02. Frequency Test within a Block                 	0.10330589433274848 	Random
03. Run Test                                      	0.06327872085267852 	Random
04. Longest Run of Ones in a Block                	0.7822395766796222  	Random
05. Binary Matrix Rank Test                       	0.6711364848777461  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.03553764067518079 	Random
07. Non-Overlapping Template Matching Test        	0.22350888088767135 	Random
08. Overlapping Template Matching Test            	0.45495055391222294 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.8357453337539195  	Random
11. Serial test:
													0.6341009166274464  	Random
													0.5960724193356078  	Random
12. Approximate Entropy Test                      	0.0564961170615481  	Random
13. Cummulative Sums (Forward) Test               	0.8543802840082919  	Random
14. Cummulative Sums (Reverse) Test               	0.6428067748098143  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.976297189603835   	0.4187797651114975  	Random
				-3        	4.718997014925375   	0.4511271514571039  	Random
				-2        	6.968859406670352   	0.22296659533727464 	Random
				-1        	4.104477611940299   	0.5344739970571023  	Random
				+1        	2.880597014925373   	0.7183879908182856  	Random
				+2        	4.3659480375898285  	0.4980168847723203  	Random
				+3        	1.5716298507462685  	0.9046586667758634  	Random
				+4        	5.342338702157683   	0.3755437818560066  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	241                 	0.11291438735513766 	Random
				-8.0      	238                 	0.10094513854232934 	Random
				-7.0      	209                 	0.20385709629076232 	Random
				-6.0      	211                 	0.1561423854587433  	Random
				-5.0      	217                 	0.09102591775921186 	Random
				-4.0      	192                 	0.18053955923283027 	Random
				-3.0      	180                 	0.2088897334252302  	Random
				-2.0      	170                 	0.20421927028984943 	Random
				-1.0      	154                 	0.22182319830680597 	Random
				+1.0      	133                 	0.9512917363637895  	Random
				+2.0      	143                 	0.7509359138372156  	Random
				+3.0      	142                 	0.8270057892741108  	Random
				+4.0      	131                 	0.9447798273904118  	Random
				+5.0      	129                 	0.9189091785198907  	Random
				+6.0      	146                 	0.8250824348374463  	Random
				+7.0      	161                 	0.6473619697420738  	Random
				+8.0      	153                 	0.7644303018018636  	Random
				+9.0      	141                 	0.9174022293993176  	Random
