Test Data File:F:/New Log table/DES_P9K9 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.3119525248027676  	Random
02. Frequency Test within a Block                 	0.9235561543741752  	Random
03. Run Test                                      	0.8864179173970085  	Random
04. Longest Run of Ones in a Block                	0.2684596811969265  	Random
05. Binary Matrix Rank Test                       	0.7268920588807956  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.666953477238473   	Random
07. Non-Overlapping Template Matching Test        	0.5002384529933221  	Random
08. Overlapping Template Matching Test            	0.3719311173041886  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.8049521811365754  	Random
11. Serial test:
													0.08994614135406094 	Random
													0.05276922569807499 	Random
12. Approximate Entropy Test                      	0.3428743461899034  	Random
13. Cummulative Sums (Forward) Test               	0.19906870453166153 	Random
14. Cummulative Sums (Reverse) Test               	0.3698380677125137  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	1.3441335717960654  	0.9303255217291939  	Random
				-3        	5.748647058823529   	0.331449957428733   	Random
				-2        	4.089869281045751   	0.5365509456500293  	Random
				-1        	2.573529411764706   	0.7653829558949617  	Random
				+1        	3.0882352941176467  	0.6863845881332264  	Random
				+2        	4.081336238198983   	0.537766010570416   	Random
				+3        	2.917494117647059   	0.7127041814543045  	Random
				+4        	2.040228336232452   	0.8435511515877279  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	214                 	0.5464285365395531  	Random
				-8.0      	236                 	0.6902419821041983  	Random
				-7.0      	261                 	0.8959302313640981  	Random
				-6.0      	277                 	0.9484638516268085  	Random
				-5.0      	298                 	0.7102053828167469  	Random
				-4.0      	303                 	0.61541579764401    	Random
				-3.0      	289                 	0.7444545280710132  	Random
				-2.0      	279                 	0.8624346290184102  	Random
				-1.0      	263                 	0.6995916043003889  	Random
				+1.0      	296                 	0.3034836640248423  	Random
				+2.0      	324                 	0.1980274426061408  	Random
				+3.0      	337                 	0.21264763292655786 	Random
				+4.0      	311                 	0.5273877721352853  	Random
				+5.0      	303                 	0.6577382407120393  	Random
				+6.0      	302                 	0.6981523762187507  	Random
				+7.0      	322                 	0.552134704170965   	Random
				+8.0      	367                 	0.292952045893618   	Random
				+9.0      	377                 	0.27489637410028767 	Random
