Test Data File:F:/New Log table/GOST_P5K5 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.5867984623973147  	Random
02. Frequency Test within a Block                 	0.6076881784973717  	Random
03. Run Test                                      	0.32321752907172574 	Random
04. Longest Run of Ones in a Block                	0.723949799631041   	Random
05. Binary Matrix Rank Test                       	0.2708599524581008  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.7706178799918566  	Random
07. Non-Overlapping Template Matching Test        	0.8359013143057039  	Random
08. Overlapping Template Matching Test            	0.5156575863220291  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.7089988986101602  	Random
11. Serial test:
													0.7398147047038377  	Random
													0.6537777681862469  	Random
12. Approximate Entropy Test                      	0.6478523967540754  	Random
13. Cummulative Sums (Forward) Test               	0.8417162787361423  	Random
14. Cummulative Sums (Reverse) Test               	0.6920694514595986  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	9.910195076375835   	0.07782018856789424 	Random
				-3        	5.821729729729731   	0.3239537248652376  	Random
				-2        	3.6167834501167833  	0.605795106620495   	Random
				-1        	4.283783783783784   	0.5093224183926768  	Random
				+1        	1.2567567567567566  	0.9393178357759714  	Random
				+2        	4.324824824824825   	0.5036575208604342  	Random
				+3        	2.5832216216216204  	0.7639128677640322  	Random
				+4        	5.292648333464659   	0.3812184724772808  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	249                 	0.6394247967901397  	Random
				-8.0      	228                 	0.47053440489304943 	Random
				-7.0      	218                 	0.3739367279571585  	Random
				-6.0      	243                 	0.5113235974189552  	Random
				-5.0      	250                 	0.528566278825781   	Random
				-4.0      	238                 	0.36759567797032533 	Random
				-3.0      	231                 	0.23219497577880233 	Random
				-2.0      	223                 	0.08323558434445746 	Random
				-1.0      	256                 	0.10017829422626803 	Random
				+1.0      	297                 	0.967216376437836   	Random
				+2.0      	290                 	0.886784835609217   	Random
				+3.0      	280                 	0.768692304002935   	Random
				+4.0      	261                 	0.586648933677048   	Random
				+5.0      	259                 	0.6122271766881412  	Random
				+6.0      	298                 	0.9802271895943349  	Random
				+7.0      	317                 	0.8108114059398432  	Random
				+8.0      	339                 	0.6481655734532192  	Random
				+9.0      	375                 	0.43099855005644183 	Random
