Test Data File:F:/New Log table/MARS_P7K7 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.10649929893149446 	Random
02. Frequency Test within a Block                 	0.599852957062937   	Random
03. Run Test                                      	0.8159325671339063  	Random
04. Longest Run of Ones in a Block                	0.262656733703609   	Random
05. Binary Matrix Rank Test                       	0.4728207572159854  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.4139810918972675  	Random
07. Non-Overlapping Template Matching Test        	0.6981948990694398  	Random
08. Overlapping Template Matching Test            	0.006682010381191234	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.06736821227704232 	Random
11. Serial test:
													0.579108712069508   	Random
													0.828802573770373   	Random
12. Approximate Entropy Test                      	0.7026298700030843  	Random
13. Cummulative Sums (Forward) Test               	0.211242930516498   	Random
14. Cummulative Sums (Reverse) Test               	0.028928031662081025	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.444428876600956   	0.48735291543709003 	Random
				-3        	1.5793474654377875  	0.9037354974226439  	Random
				-2        	6.228764863173465   	0.28459127680026103 	Random
				-1        	5.6082949308755765  	0.3462170114450127  	Random
				+1        	4.493087557603687   	0.48080883164569854 	Random
				+2        	3.7045570916538657  	0.5926859447542017  	Random
				+3        	1.2243686635944702  	0.9425182673740092  	Random
				+4        	5.021392776051453   	0.41327496922868223 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	144                 	0.3953962395308862  	Random
				-8.0      	168                 	0.5436497000310203  	Random
				-7.0      	194                 	0.7594490932922866  	Random
				-6.0      	220                 	0.965367513798766   	Random
				-5.0      	229                 	0.8477373925238587  	Random
				-4.0      	231                 	0.7994953618696918  	Random
				-3.0      	223                 	0.8975146100068625  	Random
				-2.0      	211                 	0.8679348744445703  	Random
				-1.0      	214                 	0.8854968307335409  	Random
				+1.0      	190                 	0.1949611966012893  	Random
				+2.0      	171                 	0.20236935263819833 	Random
				+3.0      	171                 	0.32340776565436513 	Random
				+4.0      	182                 	0.5254280008505965  	Random
				+5.0      	192                 	0.6891470886353429  	Random
				+6.0      	217                 	1.0                 	Random
				+7.0      	237                 	0.7900354229875178  	Random
				+8.0      	237                 	0.8042281318686256  	Random
				+9.0      	222                 	0.953581026595693   	Random
