Test Data File:C:/Users/Salar/Desktop/New folder/RC6_P11FlippedK11 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	3.8820076976841715e-110	Non-Random
02. Frequency Test within a Block                 	0.9999903615198191  	Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	2.389141765708305e-113	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	3.389486010418036e-31	Non-Random
08. Overlapping Template Matching Test            	4.431237215902173e-102	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	1.1235321501282996e-110	Non-Random
14. Cummulative Sums (Reverse) Test               	1.5356695031925254e-110	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.358822712758573   	0.49899164886749703 	Random
				-3        	8.56544             	0.1277040090829508  	Random
				-2        	2.445267489711934   	0.7847143854178107  	Random
				-1        	4.2                 	0.5209949534314051  	Random
				+1        	4.066666666666666   	0.5398580966522981  	Random
				+2        	4.002469135802469   	0.5490605101656814  	Random
				+3        	18.12               	0.0027997108400995103	Non-Random
				+4        	2.142857142857143   	0.8290457718047977  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	4                   	0.6261958374339207  	Random
				-8.0      	6                   	0.6713732405408726  	Random
				-7.0      	8                   	0.7229950912138324  	Random
				-6.0      	12                  	0.8688301969253137  	Random
				-5.0      	14                  	0.9514722492227051  	Random
				-4.0      	17                  	0.8902300549434974  	Random
				-3.0      	20                  	0.6830913983096087  	Random
				-2.0      	15                  	1.0                 	Random
				-1.0      	14                  	0.8551321405847059  	Random
				+1.0      	14                  	0.8551321405847059  	Random
				+2.0      	11                  	0.6732899796599957  	Random
				+3.0      	3                   	0.32718687779030586 	Random
