Test Data File:C:/Users/Salar/Desktop/New folder/RC6_P4K4Flipped Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.0                 	Non-Random
02. Frequency Test within a Block                 	3.371193827467586e-82	Non-Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	1.0217151295113662e-107	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	6.021945865384534e-301	Non-Random
08. Overlapping Template Matching Test            	4.131527030984038e-26	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	0.0                 	Non-Random
14. Cummulative Sums (Reverse) Test               	0.0                 	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	22.904761904761905  	0.0003520146476973971	Non-Random
				-3        	10.599999999999998  	0.05991362580421526 	Random
				-2        	4.111111111111111   	0.5335322196587069  	Random
				-1        	3.0                 	0.6999858358786276  	Random
				+1        	2.3333333333333335  	0.8013589222076911  	Random
				+2        	4.111111111111111   	0.5335322196587069  	Random
				+3        	0.6                 	0.9880032427940937  	Random
				+4        	0.4285714285714286  	0.9945059778188691  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	14                  	0.27608232187779724 	Random
				-8.0      	13                  	0.29184054514378854 	Random
				-7.0      	11                  	0.36503027183830405 	Random
				-6.0      	8                   	0.5382526579885007  	Random
				-5.0      	4                   	0.8917558535067943  	Random
				-4.0      	2                   	0.8773705560641434  	Random
				-3.0      	1                   	0.7150006546880893  	Random
				-2.0      	1                   	0.6373518882339371  	Random
				-1.0      	2                   	0.6830913983096087  	Random
				+1.0      	2                   	0.6830913983096087  	Random
				+2.0      	1                   	0.6373518882339371  	Random
