Test Data File:C:/Users/Salar/Desktop/New folder/RC6_P7FlippedK7 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.9547224394923024  	Random
02. Frequency Test within a Block                 	0.6805218881860357  	Random
03. Run Test                                      	0.47035692286995967 	Random
04. Longest Run of Ones in a Block                	0.9669164722977516  	Random
05. Binary Matrix Rank Test                       	0.15433299025569575 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.04446592543978619 	Random
07. Non-Overlapping Template Matching Test        	0.35240512795350043 	Random
08. Overlapping Template Matching Test            	0.6911034607833225  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.046443208959948586	Random
11. Serial test:
													0.9800467626846321  	Random
													0.9655225436365986  	Random
12. Approximate Entropy Test                      	0.6161017930470402  	Random
13. Cummulative Sums (Forward) Test               	0.6613071701606983  	Random
14. Cummulative Sums (Reverse) Test               	0.714454934939087   	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.0423743193422492  	0.6934528729134998  	Random
				-3        	4.4278814814814815  	0.48959024230053705 	Random
				-2        	1.2831885383325714  	0.9366520217434303  	Random
				-1        	10.030864197530864  	0.07436543143905996 	Random
				+1        	7.030864197530864   	0.21835500066630795 	Random
				+2        	2.4160951074531325  	0.7890748553883292  	Random
				+3        	4.459111111111112   	0.48537280104038105 	Random
				+4        	2.018798751548995   	0.8465378039744901  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	234                 	0.3911725228101395  	Random
				-8.0      	257                 	0.49676936544339534 	Random
				-7.0      	267                 	0.5345769712304722  	Random
				-6.0      	267                 	0.49958961640701727 	Random
				-5.0      	257                 	0.38030406005715145 	Random
				-4.0      	269                 	0.4141390065567063  	Random
				-3.0      	285                 	0.4932428611393198  	Random
				-2.0      	285                 	0.37640587883055765 	Random
				-1.0      	323                 	0.9686641940754233  	Random
				+1.0      	279                 	0.07709987174354177 	Random
				+2.0      	274                 	0.2567848881900846  	Random
				+3.0      	273                 	0.37026415517950617 	Random
				+4.0      	285                 	0.5625446241828542  	Random
				+5.0      	278                 	0.5469410378430104  	Random
				+6.0      	242                 	0.33142494189509386 	Random
				+7.0      	245                 	0.38938570492995894 	Random
				+8.0      	263                 	0.5360984405038685  	Random
				+9.0      	257                 	0.5232420671746162  	Random
