Test Data File:C:/Users/Salar/Desktop/New folder/Serpent_P1K1Flipped Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	1.9637334432885027e-130	Non-Random
02. Frequency Test within a Block                 	0.026065746775056586	Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	3.124795211177375e-92	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	3.7073534251830563e-25	Non-Random
08. Overlapping Template Matching Test            	1.2397319571190478e-83	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	5.096166417132871e-131	Non-Random
14. Cummulative Sums (Reverse) Test               	2.643140760759853e-131	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	5.305630229828481   	0.3797299977782488  	Random
				-3        	7.894545454545455   	0.16214399725664624 	Random
				-2        	9.040404040404042   	0.10746338857192454 	Random
				-1        	4.272727272727273   	0.5108545479114701  	Random
				+1        	3.0                 	0.6999858358786276  	Random
				+2        	2.809203142536476   	0.7293722569479297  	Random
				+3        	2.3605818181818177  	0.7973294304908621  	Random
				+4        	5.305630229828481   	0.3797299977782488  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	12                  	0.9587607499379828  	Random
				-8.0      	15                  	0.8257210403822366  	Random
				-7.0      	19                  	0.6361775669247722  	Random
				-6.0      	17                  	0.699722856696672   	Random
				-5.0      	11                  	1.0                 	Random
				-4.0      	7                   	0.7472033251006591  	Random
				-3.0      	6                   	0.6335534753768335  	Random
				-2.0      	8                   	0.7119231506921901  	Random
				-1.0      	12                  	0.8311704095417624  	Random
				+1.0      	8                   	0.5224312849615644  	Random
				+2.0      	10                  	0.9020346492544503  	Random
				+3.0      	10                  	0.9240398006814219  	Random
				+4.0      	13                  	0.8719637673702084  	Random
				+5.0      	16                  	0.7223389919650491  	Random
				+6.0      	14                  	0.8470785555694449  	Random
				+7.0      	14                  	0.8591991407511987  	Random
				+8.0      	15                  	0.8257210403822366  	Random
				+9.0      	10                  	0.9587607499379828  	Random
