Test Data File:C:/Users/Salar/Desktop/New folder/Serpent_P3K3Flipped Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	1.1087252767004292e-05	Non-Random
02. Frequency Test within a Block                 	1.0                 	Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	2.6127737276716404e-106	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	2.0740595769897187e-29	Non-Random
08. Overlapping Template Matching Test            	4.131527030984038e-26	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	2.1101486090914638e-05	Non-Random
14. Cummulative Sums (Reverse) Test               	1.9747709185722147e-05	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	6.489795918367347   	0.2614315722813356  	Random
				-3        	4.42                	0.49065797867711314 	Random
				-2        	4.703703703703704   	0.45309935421690495 	Random
				-1        	3.0                 	0.6999858358786276  	Random
				+1        	4.0                 	0.5494159513527802  	Random
				+2        	4.263374485596708   	0.5121525598141221  	Random
				+3        	4.5672              	0.47094296449847517 	Random
				+4        	9.91281410523393    	0.07774364959813194 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	15                  	0.8819307212779461  	Random
				-8.0      	12                  	1.0                 	Random
				-7.0      	11                  	0.9548528001763662  	Random
				-6.0      	10                  	0.9020346492544503  	Random
				-5.0      	5                   	0.6338680221454263  	Random
				-4.0      	3                   	0.48745329036403495 	Random
				-3.0      	3                   	0.41131379177625893 	Random
				-2.0      	5                   	0.40939548620991884 	Random
				-1.0      	9                   	0.5402913746074199  	Random
				+1.0      	14                  	0.6830913983096087  	Random
				+2.0      	17                  	0.5556897902827946  	Random
				+3.0      	17                  	0.6480768681391462  	Random
				+4.0      	11                  	0.9385028847784713  	Random
				+5.0      	9                   	0.8382564863858263  	Random
				+6.0      	10                  	0.9020346492544503  	Random
				+7.0      	4                   	0.6506129639327536  	Random
