Test Data File:C:/Users/Salar/Desktop/New folder/Serpent_P4FlippedK4 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.9942797482475021  	Random
02. Frequency Test within a Block                 	1.0                 	Random
03. Run Test                                      	2.659938578513184e-18	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	2.6127737276716404e-106	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	6.95691045007997e-30	Non-Random
08. Overlapping Template Matching Test            	4.131527030984038e-26	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	0.9999999999999998  	Random
14. Cummulative Sums (Reverse) Test               	0.9999999999999996  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	86.85714285714286   	3.07008428064478e-17	Non-Random
				-3        	121.6               	1.4380845790448884e-24	Non-Random
				-2        	202.66666666666666  	7.6365549928602e-42 	Non-Random
				-1        	608.0               	3.7782684302988e-129	Non-Random
				+1        	18784.07894736842   	0.0                 	Non-Random
				+2        	7078.320987654321   	0.0                 	Non-Random
				+3        	6956.492799999998   	0.0                 	Non-Random
				+4        	7689.769262807164   	0.0                 	Non-Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				+1.0      	2431                	0.0                 	Non-Random
				+2.0      	4256                	0.0                 	Non-Random
				+3.0      	7296                	0.0                 	Non-Random
				+4.0      	9728                	0.0                 	Non-Random
				+5.0      	13984               	0.0                 	Non-Random
				+6.0      	15808               	0.0                 	Non-Random
				+7.0      	9728                	0.0                 	Non-Random
				+8.0      	6688                	0.0                 	Non-Random
				+9.0      	5472                	7.138854183018015e-251	Non-Random
