Test Data File:C:/Users/Salar/Desktop/New folder/Serpent_P6K6Flipped Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.7461508002576727  	Random
02. Frequency Test within a Block                 	0.5465840769473255  	Random
03. Run Test                                      	0.3419015258420044  	Random
04. Longest Run of Ones in a Block                	0.2634281278662081  	Random
05. Binary Matrix Rank Test                       	0.7823997596374028  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.5018224509844786  	Random
07. Non-Overlapping Template Matching Test        	0.7873572689418008  	Random
08. Overlapping Template Matching Test            	0.5092950751994241  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.9388518180597362  	Random
11. Serial test:
													0.4161776742689675  	Random
													0.6176136850143007  	Random
12. Approximate Entropy Test                      	0.12035771940178241 	Random
13. Cummulative Sums (Forward) Test               	0.288416854380339   	Random
14. Cummulative Sums (Reverse) Test               	0.5101642448245853  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.341555216190785   	0.5013583779311562  	Random
				-3        	1.535288888888889   	0.908961910927996   	Random
				-2        	5.53360768175583    	0.35427474882363463 	Random
				-1        	3.1111111111111107  	0.6828604548266007  	Random
				+1        	4.074074074074074   	0.5388011911309356  	Random
				+2        	7.556470050297211   	0.18243304456269677 	Random
				+3        	2.4024888888888887  	0.791103418323649   	Random
				+4        	6.087494408194116   	0.29779821038853443 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	68                  	0.7438705800885652  	Random
				-8.0      	68                  	0.7279657577635366  	Random
				-7.0      	62                  	0.8309337095589888  	Random
				-6.0      	46                  	0.816457594441139   	Random
				-5.0      	41                  	0.676696551682662   	Random
				-4.0      	41                  	0.6363520005613511  	Random
				-3.0      	37                  	0.4644350204756138  	Random
				-2.0      	38                  	0.37406279749088245 	Random
				-1.0      	47                  	0.5005813519490323  	Random
				+1.0      	57                  	0.7728299926844475  	Random
				+2.0      	52                  	0.9115282379093772  	Random
				+3.0      	34                  	0.3894236957350262  	Random
				+4.0      	27                  	0.32610945202048913 	Random
				+5.0      	26                  	0.3691320158162491  	Random
				+6.0      	19                  	0.3098899431077221  	Random
				+7.0      	10                  	0.2402856431699908  	Random
				+8.0      	7                   	0.2429179560372099  	Random
				+9.0      	7                   	0.27269120069413255 	Random
