Test Data File:C:/Users/Salar/Desktop/New folder/TWOFISH_P11FlippedK11 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	2.0781371631222142e-110	Non-Random
02. Frequency Test within a Block                 	0.9999898108802932  	Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	2.389141765708305e-113	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	0.0                 	Non-Random
08. Overlapping Template Matching Test            	1.4353928015871716e-27	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	8.886807197071285e-111	Non-Random
14. Cummulative Sums (Reverse) Test               	4.752698883277048e-111	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	8.174153626465165   	0.1468952599978064  	Random
				-3        	5.234514285714286   	0.3879353702058795  	Random
				-2        	3.18694885361552    	0.6711891195805495  	Random
				-1        	3.0                 	0.6999858358786276  	Random
				+1        	3.8571428571428577  	0.5701619127830211  	Random
				+2        	3.18694885361552    	0.6711891195805495  	Random
				+3        	37.46171428571429   	4.839343420315178e-07	Non-Random
				+4        	9.480276075444754   	0.09137409768734137 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	5                   	0.8968506656319674  	Random
				-8.0      	5                   	0.8902300549434974  	Random
				-7.0      	4                   	0.8240221313018803  	Random
				-6.0      	7                   	1.0                 	Random
				-5.0      	14                  	0.5328840277868037  	Random
				-4.0      	14                  	0.4795001221869535  	Random
				-3.0      	10                  	0.7199178531944465  	Random
				-2.0      	9                   	0.7576207236833965  	Random
				-1.0      	8                   	0.7892680261342813  	Random
				+1.0      	8                   	0.7892680261342813  	Random
				+2.0      	11                  	0.5370939784426416  	Random
				+3.0      	10                  	0.7199178531944465  	Random
				+4.0      	7                   	1.0                 	Random
				+5.0      	9                   	0.8585862013366392  	Random
				+6.0      	12                  	0.6870133442333652  	Random
				+7.0      	8                   	0.9409109772278318  	Random
				+8.0      	7                   	1.0                 	Random
				+9.0      	10                  	0.8458148386257579  	Random
