Test Data File:C:/Users/Salar/Desktop/New folder/TWOFISH_P1FlippedK1 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	8.058708245747e-59  	Non-Random
02. Frequency Test within a Block                 	1.0                 	Random
03. Run Test                                      	0.0                 	Non-Random
04. Longest Run of Ones in a Block                	0.0                 	Non-Random
05. Binary Matrix Rank Test                       	1.221939163759842e-93	Non-Random
06. Discrete Fourier Transform (Spectral) Test    	0.0                 	Non-Random
07. Non-Overlapping Template Matching Test        	3.6788374057996186e-25	Non-Random
08. Overlapping Template Matching Test            	2.3865048083044222e-21	Non-Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.0                 	Non-Random
11. Serial test:
													0.0                 	Non-Random
													0.0                 	Non-Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cummulative Sums (Forward) Test               	1.7871790851774945e-59	Non-Random
14. Cummulative Sums (Reverse) Test               	3.138445287163284e-59	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.666666666666667   	0.4578982272454012  	Random
				-3        	4.9733333333333345  	0.41914329822457774 	Random
				-2        	6.160493827160494   	0.29091399655122013 	Random
				-1        	6.333333333333333   	0.27512168322122044 	Random
				+1        	4.0                 	0.5494159513527802  	Random
				+2        	4.46639231824417    	0.48439258452196665 	Random
				+3        	15.578933333333337  	0.008154940600393125	Non-Random
				+4        	8.626498218334953   	0.12492179842135999 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-4.0      	1                   	0.1189907208931236  	Random
				-3.0      	4                   	0.09169028154942915 	Random
				-2.0      	6                   	0.0412268333371637  	Random
				-1.0      	17                  	0.0251447611733574  	Random
				+1.0      	39                  	0.7236736098317631  	Random
				+2.0      	26                  	0.49624247444426306 	Random
				+3.0      	16                  	0.29184054514378854 	Random
				+4.0      	11                  	0.26545575878651595 	Random
				+5.0      	7                   	0.25460824005747706 	Random
				+6.0      	8                   	0.3197670634951788  	Random
				+7.0      	7                   	0.343183087205872   	Random
				+8.0      	4                   	0.3301911186033427  	Random
				+9.0      	8                   	0.4235215196809612  	Random
