Test Data File:F:/New Log table/AES_P10K10 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.3354433571969333  	Random
02. Frequency Test within a Block                 	0.3561053523956745  	Random
03. Run Test                                      	0.7310293348566372  	Random
04. Longest Run of Ones in a Block                	0.08445382154993007 	Random
05. Binary Matrix Rank Test                       	0.9398780969855388  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8352473570365262  	Random
07. Non-Overlapping Template Matching Test        	0.8970581630280032  	Random
08. Overlapping Template Matching Test            	0.07903083627544918 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.5740938434482963  	Random
11. Serial test:
													0.057192152741550345	Random
													0.19144619016272119 	Random
12. Approximate Entropy Test                      	0.37589130914027774 	Random
13. Cummulative Sums (Forward) Test               	0.5547755193072843  	Random
14. Cummulative Sums (Reverse) Test               	0.39457692240075004 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	5.824346998274528   	0.3236877106402271  	Random
				-3        	7.632267755102041   	0.17770051914734633 	Random
				-2        	2.19899218946838    	0.8209815278523547  	Random
				-1        	1.1142857142857143  	0.9528313997561377  	Random
				+1        	8.63265306122449    	0.12464440161256923 	Random
				+2        	6.224389014865205   	0.28499319818576496 	Random
				+3        	2.9525616326530617  	0.7072994381682184  	Random
				+4        	4.6149053540616585  	0.46465821123515627 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	177                 	0.45624046419423747 	Random
				-8.0      	208                 	0.6660490492380021  	Random
				-7.0      	230                 	0.8509228987775432  	Random
				-6.0      	236                 	0.9024333200095812  	Random
				-5.0      	246                 	0.9879855372915182  	Random
				-4.0      	240                 	0.9319644823498436  	Random
				-3.0      	222                 	0.6421676730778509  	Random
				-2.0      	237                 	0.834716625122699   	Random
				-1.0      	251                 	0.7863507532043057  	Random
				+1.0      	236                 	0.6843175494727258  	Random
				+2.0      	251                 	0.8756450990859546  	Random
				+3.0      	290                 	0.3632776609360936  	Random
				+4.0      	303                 	0.32201173548856665 	Random
				+5.0      	292                 	0.479101852219058   	Random
				+6.0      	311                 	0.3686638396222096  	Random
				+7.0      	370                 	0.11730764566119768 	Random
				+8.0      	375                 	0.1294306744379059  	Random
				+9.0      	347                 	0.26374745922549403 	Random
