Test Data File:F:/NetBeans Projects/ownSP2/Encryption/ownSP_P9K9 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.8161863363051607  	Random
02. Frequency Test within a Block                 	0.5465449553417534  	Random
03. Run Test                                      	0.6459800699406639  	Random
04. Longest Run of Ones in a Block                	0.9599741583866473  	Random
05. Binary Matrix Rank Test                       	0.09012149135436925 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.29637290877980815 	Random
07. Non-Overlapping Template Matching Test        	0.615928989150053   	Random
08. Overlapping Template Matching Test            	0.20085662554933778 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.1452428009383808  	Random
11. Serial test:
													0.18452367972548    	Random
													0.24149810454012133 	Random
12. Approximate Entropy Test                      	0.9224689558803613  	Random
13. Cummulative Sums (Forward) Test               	0.9127322130400088  	Random
14. Cummulative Sums (Reverse) Test               	0.7121519072597288  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.3639240014706715  	0.49829366819482046 	Random
				-3        	3.2907168738898753  	0.655263221614661   	Random
				-2        	1.1494638510624302  	0.9496327641593832  	Random
				-1        	3.4191829484902305  	0.6356499861476297  	Random
				+1        	7.230905861456482   	0.20402613559666974 	Random
				+2        	11.553077648400322  	0.04145227279382776 	Random
				+3        	10.507990053285969  	0.062056494565958194	Random
				+4        	2.188868166978975   	0.8224422570659582  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	472                 	0.5107115585335296  	Random
				-8.0      	513                 	0.700438039086698   	Random
				-7.0      	527                 	0.7660457651238916  	Random
				-6.0      	526                 	0.7395437966601803  	Random
				-5.0      	516                 	0.6405840908254348  	Random
				-4.0      	463                 	0.26000816061502263 	Random
				-3.0      	447                 	0.12210946637477403 	Random
				-2.0      	490                 	0.20911240702470413 	Random
				-1.0      	531                 	0.34026998824142707 	Random
				+1.0      	547                 	0.6334931768984955  	Random
				+2.0      	464                 	0.08850150522159826 	Random
				+3.0      	406                 	0.036402428576936374	Random
				+4.0      	407                 	0.07889393690046591 	Random
				+5.0      	422                 	0.16131969044312555 	Random
				+6.0      	438                 	0.2613664209740757  	Random
				+7.0      	444                 	0.32532607244184786 	Random
				+8.0      	445                 	0.3638988403487766  	Random
				+9.0      	467                 	0.4877642736921748  	Random
