Test Data File:F:/NetBeans Projects/ownSP3/Files/ownSP_P10K10 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.047785917403214494	Random
02. Frequency Test within a Block                 	0.4313326920290242  	Random
03. Run Test                                      	0.3456350140830393  	Random
04. Longest Run of Ones in a Block                	0.2502185469561757  	Random
05. Binary Matrix Rank Test                       	0.3093448237169395  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.5549073140320773  	Random
07. Non-Overlapping Template Matching Test        	0.18974487143593186 	Random
08. Overlapping Template Matching Test            	0.32949682062457475 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.7444907878729674  	Random
11. Serial test:
													0.6252221200620818  	Random
													0.9092639696326645  	Random
12. Approximate Entropy Test                      	0.7948970886823704  	Random
13. Cummulative Sums (Forward) Test               	0.04662779484349186 	Random
14. Cummulative Sums (Reverse) Test               	0.06969466975434589 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.081480755567533   	0.8377596511995353  	Random
				-3        	1.3758305882352937  	0.9269387768434573  	Random
				-2        	4.957298474945534   	0.4211137668158146  	Random
				-1        	6.811764705882353   	0.23502022678016568 	Random
				+1        	1.752941176470588   	0.8821637261724667  	Random
				+2        	2.37835875090777    	0.7946925091289159  	Random
				+3        	4.848771764705883   	0.43461387143941876 	Random
				+4        	5.228091236494598   	0.3886826476544299  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	23                  	0.248786751390643   	Random
				-8.0      	36                  	0.33187475706481495 	Random
				-7.0      	48                  	0.43124913467238424 	Random
				-6.0      	50                  	0.4183022047973558  	Random
				-5.0      	60                  	0.5227334925578404  	Random
				-4.0      	71                  	0.684860368172191   	Random
				-3.0      	67                  	0.5369742808129034  	Random
				-2.0      	65                  	0.37582508748869836 	Random
				-1.0      	80                  	0.7013620474688375  	Random
				+1.0      	88                  	0.8180222264149289  	Random
				+2.0      	105                 	0.37582508748869836 	Random
				+3.0      	109                 	0.4103981302751233  	Random
				+4.0      	99                  	0.684860368172191   	Random
				+5.0      	95                  	0.7982172482487114  	Random
				+6.0      	84                  	0.9815506719820717  	Random
				+7.0      	73                  	0.7985212280023714  	Random
				+8.0      	98                  	0.7968403925881034  	Random
				+9.0      	117                 	0.5516748585207085  	Random
