Test Data File:F:/NetBeans Projects/ownSP3/Files/ownSP_P12K12 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.8909134891168466  	Random
02. Frequency Test within a Block                 	0.7845078781175729  	Random
03. Run Test                                      	0.8688768768326215  	Random
04. Longest Run of Ones in a Block                	0.08709091443891714 	Random
05. Binary Matrix Rank Test                       	0.21429875376359173 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.27698669377846397 	Random
07. Non-Overlapping Template Matching Test        	0.33384354232399    	Random
08. Overlapping Template Matching Test            	0.5931273238172399  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.004396572021177959	Non-Random
11. Serial test:
													0.8116191674793379  	Random
													0.7930503891128039  	Random
12. Approximate Entropy Test                      	0.9839895499649983  	Random
13. Cummulative Sums (Forward) Test               	0.8242504468003635  	Random
14. Cummulative Sums (Reverse) Test               	0.9299939552865908  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.705322299821251   	0.5925721236775823  	Random
				-3        	1.5719376391982183  	0.904621911319639   	Random
				-2        	5.884874481014051   	0.3175828334585305  	Random
				-1        	3.463251670378619   	0.6289552685356468  	Random
				+1        	6.140311804008908   	0.2928044502319387  	Random
				+2        	6.195578652148807   	0.2876508177042947  	Random
				+3        	7.964703786191532   	0.1581916292043895  	Random
				+4        	4.142742120256129   	0.529053127552862   	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	476                 	0.8270200793374759  	Random
				-8.0      	486                 	0.7498783934439558  	Random
				-7.0      	496                 	0.6635633315093703  	Random
				-6.0      	524                 	0.4504786455321367  	Random
				-5.0      	544                 	0.2906346679535481  	Random
				-4.0      	497                 	0.5449024793179091  	Random
				-3.0      	467                 	0.7882168885798699  	Random
				-2.0      	457                 	0.8775061114195544  	Random
				-1.0      	438                 	0.7135632579475751  	Random
				+1.0      	447                 	0.946788001710581   	Random
				+2.0      	431                 	0.7287448045061422  	Random
				+3.0      	433                 	0.8112766636027149  	Random
				+4.0      	430                 	0.8106063144614121  	Random
				+5.0      	441                 	0.9290915905549663  	Random
				+6.0      	448                 	0.9919721689679083  	Random
				+7.0      	454                 	0.9630898988187651  	Random
				+8.0      	452                 	0.979378077134526   	Random
				+9.0      	435                 	0.9097853754033256  	Random
