Test Data File:F:/NetBeans Projects/ownSP3/Files/ownSP_P8K8 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.012391337050544213	Random
02. Frequency Test within a Block                 	0.7458332969090226  	Random
03. Run Test                                      	0.012567330946514117	Random
04. Longest Run of Ones in a Block                	0.9481583587730662  	Random
05. Binary Matrix Rank Test                       	0.4056934075498652  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.5453552543038054  	Random
07. Non-Overlapping Template Matching Test        	0.2575711018463112  	Random
08. Overlapping Template Matching Test            	0.16113863226859865 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.013399280676190818	Random
11. Serial test:
													0.9666100027921719  	Random
													0.9217439677491269  	Random
12. Approximate Entropy Test                      	0.8082935237248701  	Random
13. Cummulative Sums (Forward) Test               	0.020302071558540906	Random
14. Cummulative Sums (Reverse) Test               	0.02295365547737653 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.934912440917202   	0.4238751563201757  	Random
				-3        	2.623691743119265   	0.7577623874778925  	Random
				-2        	2.5070789443878128  	0.7754285926856512  	Random
				-1        	3.091743119266055   	0.6858441082595955  	Random
				+1        	3.36697247706422    	0.643604862078544   	Random
				+2        	0.3922301506399366  	0.9955409029823398  	Random
				+3        	9.008308256880733   	0.1087332280579954  	Random
				+4        	11.25533703464535   	0.046545952683748254	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	160                 	0.4021678399173845  	Random
				-8.0      	191                 	0.1515809084864251  	Random
				-7.0      	183                 	0.16451235878397685 	Random
				-6.0      	172                 	0.19826224472368148 	Random
				-5.0      	185                 	0.08620051517748242 	Random
				-4.0      	174                 	0.09612562425616847 	Random
				-3.0      	174                 	0.048976839853101264	Random
				-2.0      	171                 	0.015334049891238695	Random
				-1.0      	135                 	0.07824818643309583 	Random
				+1.0      	104                 	0.734878888121549   	Random
				+2.0      	95                  	0.5840741999420398  	Random
				+3.0      	87                  	0.5051805208936785  	Random
				+4.0      	76                  	0.39824123310516457 	Random
				+5.0      	49                  	0.1755543027732298  	Random
				+6.0      	29                  	0.10232732024767985 	Random
				+7.0      	21                  	0.09832319828705587 	Random
				+8.0      	17                  	0.10765044423426194 	Random
				+9.0      	8                   	0.0970986427506228  	Random
