Test Data File:F:/NetBeans Projects/ownSP5/Files/ownSP_P7K7 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.8693666663199859  	Random
02. Frequency Test within a Block                 	0.8118603647095335  	Random
03. Run Test                                      	0.23639523869095636 	Random
04. Longest Run of Ones in a Block                	0.6208294440026054  	Random
05. Binary Matrix Rank Test                       	0.26503128214742006 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.32958328986793506 	Random
07. Non-Overlapping Template Matching Test        	0.9129265859330626  	Random
08. Overlapping Template Matching Test            	0.9927048862288145  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.45430979634141877 	Random
11. Serial test:
													0.12479043783431241 	Random
													0.019877015910846757	Random
12. Approximate Entropy Test                      	0.4671287829933612  	Random
13. Cummulative Sums (Forward) Test               	0.9440966175591072  	Random
14. Cummulative Sums (Reverse) Test               	0.8212383549057078  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.160687551358105   	0.8264937080556758  	Random
				-3        	5.231288452088451   	0.3883105457346121  	Random
				-2        	4.427548760882095   	0.48963528992401706 	Random
				-1        	3.324324324324324   	0.6501197483871913  	Random
				+1        	6.906633906633907   	0.22767719043720075 	Random
				+2        	6.988291321624654   	0.2215125547468759  	Random
				+3        	6.645460442260441   	0.2483708843840501  	Random
				+4        	6.654007799780394   	0.24766966204989546 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	334                 	0.5348868904844173  	Random
				-8.0      	317                 	0.41536545756931753 	Random
				-7.0      	305                 	0.32141522465722017 	Random
				-6.0      	349                 	0.5399146279412987  	Random
				-5.0      	372                 	0.6826009728067386  	Random
				-4.0      	368                 	0.6053947320561173  	Random
				-3.0      	359                 	0.45181549819141664 	Random
				-2.0      	350                 	0.2487221851492024  	Random
				-1.0      	364                 	0.13177241293139977 	Random
				+1.0      	429                 	0.4406478971233143  	Random
				+2.0      	429                 	0.6561791561363104  	Random
				+3.0      	419                 	0.8507998751913883  	Random
				+4.0      	396                 	0.8841391739680903  	Random
				+5.0      	371                 	0.6740473527050261  	Random
				+6.0      	359                 	0.6119707004260824  	Random
				+7.0      	355                 	0.6132090837088031  	Random
				+8.0      	302                 	0.34199236428464397 	Random
				+9.0      	285                 	0.29968643616587287 	Random
