Test Data File:F:/NetBeans Projects/ownSP6/Files/ownSP_P7K7 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.4980734177574955  	Random
02. Frequency Test within a Block                 	0.944517500855264   	Random
03. Run Test                                      	0.5722503852263199  	Random
04. Longest Run of Ones in a Block                	0.18777727523999263 	Random
05. Binary Matrix Rank Test                       	0.7148026098106092  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.3383715925272457  	Random
07. Non-Overlapping Template Matching Test        	0.7668637691203348  	Random
08. Overlapping Template Matching Test            	0.1451250813773791  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.8183098326621112  	Random
11. Serial test:
													0.7398783723519311  	Random
													0.9153330591982513  	Random
12. Approximate Entropy Test                      	0.7392915690634908  	Random
13. Cummulative Sums (Forward) Test               	0.5864943071918294  	Random
14. Cummulative Sums (Reverse) Test               	0.8130596767349351  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.340142927245661   	0.8003533606979338  	Random
				-3        	3.3240554455445546  	0.6501608667120177  	Random
				-2        	2.740862975186407   	0.7398618827343135  	Random
				-1        	10.04950495049505   	0.0738446360773367  	Random
				+1        	11.415841584158416  	0.0437307611764219  	Random
				+2        	10.715927148270382  	0.057312471579962145	Random
				+3        	15.81783762376238   	0.007383865296932397	Non-Random
				+4        	3.609317074981134   	0.606914919911829   	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	96                  	0.9320040224214007  	Random
				-8.0      	92                  	0.8701237540890797  	Random
				-7.0      	81                  	0.6963252991662292  	Random
				-6.0      	61                  	0.3961202905028546  	Random
				-5.0      	48                  	0.21385960534598514 	Random
				-4.0      	54                  	0.21133830312171253 	Random
				-3.0      	78                  	0.4692411571380539  	Random
				-2.0      	96                  	0.8390481835662089  	Random
				-1.0      	91                  	0.48168344083007475 	Random
				+1.0      	136                 	0.013793700808620999	Random
				+2.0      	145                 	0.07387644396442589 	Random
				+3.0      	148                 	0.13916853426575787 	Random
				+4.0      	152                 	0.17501395652446294 	Random
				+5.0      	149                 	0.2602687827075286  	Random
				+6.0      	142                 	0.3844180025721541  	Random
				+7.0      	140                 	0.44662295826145193 	Random
				+8.0      	163                 	0.2600206807089296  	Random
				+9.0      	166                 	0.2673402220693002  	Random
