Test Data File:F:/NetBeans Projects/ownSP7/Files/ownSP_P15K15 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.09900496171118225 	Random
02. Frequency Test within a Block                 	0.4791302116350419  	Random
03. Run Test                                      	0.0637807006799402  	Random
04. Longest Run of Ones in a Block                	0.6557489373385003  	Random
05. Binary Matrix Rank Test                       	0.5747292626874996  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.749633339353709   	Random
07. Non-Overlapping Template Matching Test        	0.6566676414233845  	Random
08. Overlapping Template Matching Test            	0.7204201801095276  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.4719583794892891  	Random
11. Serial test:
													0.8956504655473927  	Random
													0.6893921789680415  	Random
12. Approximate Entropy Test                      	0.9111549469906272  	Random
13. Cummulative Sums (Forward) Test               	0.03816767574829652 	Random
14. Cummulative Sums (Reverse) Test               	0.18743937080733994 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.405732959252326   	0.7906200649783484  	Random
				-3        	1.6026549450549445  	0.9009280963125479  	Random
				-2        	9.241486908153574   	0.0998111432663153  	Random
				-1        	6.78021978021978    	0.23750546192021338 	Random
				+1        	3.4175824175824174  	0.6358934819742323  	Random
				+2        	5.8465608465608465  	0.321436728788596   	Random
				+3        	3.0034109890109897  	0.6994599286378276  	Random
				+4        	7.423166171604323   	0.19102249649615619 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	160                 	0.2147987841475424  	Random
				-8.0      	174                 	0.11216542899040954 	Random
				-7.0      	151                 	0.21738427140822514 	Random
				-6.0      	122                 	0.48841326663464124 	Random
				-5.0      	125                 	0.4008620983824762  	Random
				-4.0      	120                 	0.4165156092499588  	Random
				-3.0      	99                  	0.7908573841213066  	Random
				-2.0      	97                  	0.7973514701113643  	Random
				-1.0      	100                 	0.5046926853028986  	Random
				+1.0      	82                  	0.5046926853028986  	Random
				+2.0      	85                  	0.7973514701113643  	Random
				+3.0      	80                  	0.7153753372251177  	Random
				+4.0      	59                  	0.36996928282173625 	Random
				+5.0      	47                  	0.27696360215714255 	Random
				+6.0      	38                  	0.23620573561901348 	Random
				+7.0      	23                  	0.16211850835069364 	Random
				+8.0      	10                  	0.12107984851870938 	Random
				+9.0      	6                   	0.12648160134158046 	Random
