Test Data File:F:/NetBeans Projects/ownSP7/Files/ownSP_P3K3 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.7678982063534514  	Random
02. Frequency Test within a Block                 	0.31652765488429024 	Random
03. Run Test                                      	0.07374321682002677 	Random
04. Longest Run of Ones in a Block                	0.858685466177066   	Random
05. Binary Matrix Rank Test                       	0.6240710511069811  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.9417083313343881  	Random
07. Non-Overlapping Template Matching Test        	0.5522681918818546  	Random
08. Overlapping Template Matching Test            	0.663475697883159   	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.4222683678831317  	Random
11. Serial test:
													0.09336619483055227 	Random
													0.20048635954315314 	Random
12. Approximate Entropy Test                      	0.9903331487719362  	Random
13. Cummulative Sums (Forward) Test               	0.8888818499574176  	Random
14. Cummulative Sums (Reverse) Test               	0.9145176026468738  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	6.3174358854962955  	0.27654468995336706 	Random
				-3        	3.8937937888198757  	0.5648062805591509  	Random
				-2        	3.2407279605347235  	0.6629276983571666  	Random
				-1        	2.718426501035197   	0.7432987754577239  	Random
				+1        	6.0269151138716355  	0.3036087653852912  	Random
				+2        	4.368248856171562   	0.49770235824730213 	Random
				+3        	7.526290683229814   	0.18434768103362079 	Random
				+4        	4.1803070321803455  	0.5237591196247567  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	628                 	0.2578442430681185  	Random
				-8.0      	631                 	0.2188854696872098  	Random
				-7.0      	622                 	0.21483507990342776 	Random
				-6.0      	572                 	0.3879251664159856  	Random
				-5.0      	524                 	0.6601415145424684  	Random
				-4.0      	507                 	0.7703941404731124  	Random
				-3.0      	509                 	0.708322180778092   	Random
				-2.0      	500                 	0.7521611595603587  	Random
				-1.0      	490                 	0.8218071136764855  	Random
				+1.0      	510                 	0.38500535441395933 	Random
				+2.0      	527                 	0.41373336626347645 	Random
				+3.0      	525                 	0.5456228115403889  	Random
				+4.0      	513                 	0.7152426188512401  	Random
				+5.0      	512                 	0.7557854919664904  	Random
				+6.0      	534                 	0.6207770308312762  	Random
				+7.0      	558                 	0.5033235886423831  	Random
				+8.0      	552                 	0.5665014959476619  	Random
				+9.0      	554                 	0.5795478005124062  	Random
