Test Data File:F:/NetBeans Projects/ownSP7/Files/ownSP_P5K5 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.11342618328242926 	Random
02. Frequency Test within a Block                 	0.6252237507856124  	Random
03. Run Test                                      	0.2752394048942216  	Random
04. Longest Run of Ones in a Block                	0.053122733740188825	Random
05. Binary Matrix Rank Test                       	0.6371453395242349  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.032934265222992434	Random
07. Non-Overlapping Template Matching Test        	0.9993366338168438  	Random
08. Overlapping Template Matching Test            	0.5318869030606403  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.6926919564363823  	Random
11. Serial test:
													0.7983816388454542  	Random
													0.585805074760973   	Random
12. Approximate Entropy Test                      	0.3655966543955782  	Random
13. Cummulative Sums (Forward) Test               	0.1736671151002071  	Random
14. Cummulative Sums (Reverse) Test               	0.1340547920566509  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	6.1227184751451595  	0.2944603997217561  	Random
				-3        	4.142635294117647   	0.5290682219707356  	Random
				-2        	6.503631082062454   	0.2602483389318786  	Random
				-1        	3.9705882352941178  	0.553658273068733   	Random
				+1        	4.147058823529412   	0.5284433682383316  	Random
				+2        	2.624546114742193   	0.7576323433611619  	Random
				+3        	1.103247058823529   	0.9538158605346003  	Random
				+4        	6.663890045814243   	0.2468609746320106  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	153                 	0.8025873486341526  	Random
				-8.0      	187                 	0.424617535846888   	Random
				-7.0      	204                 	0.2528129010164081  	Random
				-6.0      	202                 	0.22758641948903924 	Random
				-5.0      	192                 	0.2577046860019466  	Random
				-4.0      	173                 	0.39646798368485403 	Random
				-3.0      	161                 	0.4978302297659911  	Random
				-2.0      	141                 	0.8610521238150397  	Random
				-1.0      	132                 	0.8083651559145103  	Random
				+1.0      	130                 	0.7160047955043312  	Random
				+2.0      	121                 	0.5995101785600032  	Random
				+3.0      	119                 	0.6448149466467326  	Random
				+4.0      	117                 	0.6632490424262771  	Random
				+5.0      	117                 	0.7009675228851389  	Random
				+6.0      	105                 	0.5708934708675317  	Random
				+7.0      	92                  	0.4593363573147894  	Random
				+8.0      	90                  	0.4714277602650313  	Random
				+9.0      	105                 	0.6484745801035362  	Random
