Test Data File:F:/NetBeans Projects/ownSP7/Files/ownSP_P9K9 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.22336985330660775 	Random
02. Frequency Test within a Block                 	0.638448160450288   	Random
03. Run Test                                      	0.4166469429779348  	Random
04. Longest Run of Ones in a Block                	0.5280883845433351  	Random
05. Binary Matrix Rank Test                       	0.6388541795018821  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.252061093264875   	Random
07. Non-Overlapping Template Matching Test        	0.46690252379848307 	Random
08. Overlapping Template Matching Test            	0.466540029225591   	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.12228887148088684 	Random
11. Serial test:
													0.7316419378495373  	Random
													0.659938962951826   	Random
12. Approximate Entropy Test                      	0.7639482270389645  	Random
13. Cummulative Sums (Forward) Test               	0.1864477820973893  	Random
14. Cummulative Sums (Reverse) Test               	0.24563624449435006 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.95518340226456    	0.5558863648517859  	Random
				-3        	2.4813554817275745  	0.7793003176435785  	Random
				-2        	2.7471801812887082  	0.7388935195195255  	Random
				-1        	6.196013289036545   	0.28761057741866525 	Random
				+1        	3.332225913621262   	0.6489116392146818  	Random
				+2        	1.3526516549772365  	0.9294217579984656  	Random
				+3        	3.7376478405315625  	0.5877715079326742  	Random
				+4        	1.1758874001834785  	0.9471696197332733  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	152                 	0.14078687411260626 	Random
				-8.0      	146                 	0.10286348786863621 	Random
				-7.0      	169                 	0.13566745748706618 	Random
				-6.0      	186                 	0.15759728678567475 	Random
				-5.0      	180                 	0.10020430932322354 	Random
				-4.0      	203                 	0.13113050286965086 	Random
				-3.0      	226                 	0.17161593183218316 	Random
				-2.0      	222                 	0.06303391673628404 	Random
				-1.0      	251                 	0.04156514983731163 	Random
				+1.0      	312                 	0.6539175563911575  	Random
				+2.0      	306                 	0.9063408643073131  	Random
				+3.0      	299                 	0.9709202526738768  	Random
				+4.0      	319                 	0.7815618338915203  	Random
				+5.0      	337                 	0.6247825912695438  	Random
				+6.0      	341                 	0.6230393358901163  	Random
				+7.0      	359                 	0.5120629426907464  	Random
				+8.0      	365                 	0.5006307293752795  	Random
				+9.0      	354                 	0.6003440967148037  	Random
