Test Data File:F:/NetBeans Projects/ownSP8/Files/ownSP_P14K14 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.1111259135835978  	Random
02. Frequency Test within a Block                 	0.46175546567640535 	Random
03. Run Test                                      	0.015053606318435631	Random
04. Longest Run of Ones in a Block                	0.871877795731608   	Random
05. Binary Matrix Rank Test                       	0.46148261463265283 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.31703572874115193 	Random
07. Non-Overlapping Template Matching Test        	0.6732635208967306  	Random
08. Overlapping Template Matching Test            	0.8348663135684378  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.5792549963689975  	Random
11. Serial test:
													0.8880053497132131  	Random
													0.8514557637163997  	Random
12. Approximate Entropy Test                      	0.4281847129460312  	Random
13. Cummulative Sums (Forward) Test               	0.18154330660041493 	Random
14. Cummulative Sums (Reverse) Test               	0.15118356950303102 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	1.718899176625124   	0.8865102350162795  	Random
				-3        	2.4866461538461535  	0.7785048304018793  	Random
				-2        	3.0009496676163345  	0.6998394158160048  	Random
				-1        	1.3461538461538463  	0.9301115985167847  	Random
				+1        	3.4230769230769234  	0.6350576785314057  	Random
				+2        	3.1718898385565053  	0.6735049371951524  	Random
				+3        	7.2004307692307705  	0.2061556822839478  	Random
				+4        	4.3656809662640566  	0.4980534012953114  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	84                  	0.4466317481305161  	Random
				-8.0      	85                  	0.40343063138083846 	Random
				-7.0      	81                  	0.4302896916456853  	Random
				-6.0      	81                  	0.3912222161593507  	Random
				-5.0      	84                  	0.2955828615603594  	Random
				-4.0      	79                  	0.31697835861856805 	Random
				-3.0      	69                  	0.45596992424350724 	Random
				-2.0      	54                  	0.9098500327472846  	Random
				-1.0      	46                  	0.5562984612747348  	Random
				+1.0      	53                  	0.9218861842322926  	Random
				+2.0      	50                  	0.9098500327472846  	Random
				+3.0      	46                  	0.7924600886080352  	Random
				+4.0      	37                  	0.5782539318645171  	Random
				+5.0      	31                  	0.49245682377288036 	Random
				+6.0      	35                  	0.6152346037810295  	Random
				+7.0      	38                  	0.7033889082314417  	Random
				+8.0      	40                  	0.7612636496364197  	Random
				+9.0      	35                  	0.6859893535049482  	Random
