Test Data File:F:/NetBeans Projects/ownSP8/Files/ownSP_P2K2 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.139802758891911   	Random
02. Frequency Test within a Block                 	0.40954215707375685 	Random
03. Run Test                                      	0.3046435651058105  	Random
04. Longest Run of Ones in a Block                	0.21241962864276467 	Random
05. Binary Matrix Rank Test                       	0.5104785238118955  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.6126030041465786  	Random
07. Non-Overlapping Template Matching Test        	0.23019212113073925 	Random
08. Overlapping Template Matching Test            	0.6041029646835704  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.6530027611079843  	Random
11. Serial test:
													0.970179093595684   	Random
													0.8477889996492713  	Random
12. Approximate Entropy Test                      	0.5721495983104278  	Random
13. Cummulative Sums (Forward) Test               	0.05945688982129123 	Random
14. Cummulative Sums (Reverse) Test               	0.2324060241378047  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.617872894840825   	0.7586478628559227  	Random
				-3        	2.3646769230769227  	0.7967225422617568  	Random
				-2        	2.8499525166191835  	0.7231053737780316  	Random
				-1        	3.5641025641025643  	0.6137110675275722  	Random
				+1        	1.358974358974359   	0.9287478820168505  	Random
				+2        	3.1652421652421654  	0.6745275403610579  	Random
				+3        	2.6711384615384617  	0.750529018293191   	Random
				+4        	2.12747893505911    	0.8312395642919784  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	81                  	0.24874887686356073 	Random
				-8.0      	86                  	0.1694238124595987  	Random
				-7.0      	90                  	0.10924642590470221 	Random
				-6.0      	85                  	0.11631880273814284 	Random
				-5.0      	75                  	0.17423138824802498 	Random
				-4.0      	65                  	0.2658384639032654  	Random
				-3.0      	51                  	0.5434238636256694  	Random
				-2.0      	39                  	1.0                 	Random
				-1.0      	40                  	0.9098500327472846  	Random
				+1.0      	31                  	0.36503027183830405 	Random
				+2.0      	25                  	0.3600821146225288  	Random
				+3.0      	28                  	0.5775228843880241  	Random
				+4.0      	39                  	1.0                 	Random
				+5.0      	57                  	0.49690584756476797 	Random
				+6.0      	65                  	0.3747423050941059  	Random
				+7.0      	52                  	0.6830913983096087  	Random
				+8.0      	50                  	0.7477648810658952  	Random
				+9.0      	72                  	0.3648099943419528  	Random
