Test Data File:F:/NetBeans Projects/ownSP9/Files/ownSP_P14K14 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.07406984705562884 	Random
02. Frequency Test within a Block                 	0.05564864000019739 	Random
03. Run Test                                      	0.29483537716990826 	Random
04. Longest Run of Ones in a Block                	0.9681688460541876  	Random
05. Binary Matrix Rank Test                       	0.019655518402161648	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8506599367231996  	Random
07. Non-Overlapping Template Matching Test        	0.7004480342819899  	Random
08. Overlapping Template Matching Test            	0.09337159574817273 	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.3290636414440797  	Random
11. Serial test:
													0.0689392479020592  	Random
													0.019723139021418312	Random
12. Approximate Entropy Test                      	0.20344878445649175 	Random
13. Cummulative Sums (Forward) Test               	0.1340698148559092  	Random
14. Cummulative Sums (Reverse) Test               	0.06338851096566465 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	7.3494644527044555  	0.19592024144081827 	Random
				-3        	2.2060739622641505  	0.8199581400710554  	Random
				-2        	5.966876310272537   	0.3094553545685648  	Random
				-1        	4.10188679245283    	0.5348420518406971  	Random
				+1        	3.3849056603773584  	0.6408698358466377  	Random
				+2        	2.926391800605637   	0.7113330432394636  	Random
				+3        	7.225714716981135   	0.20438754504284629 	Random
				+4        	3.1209370309540834  	0.6813471481963341  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	254                 	0.9077430357681273  	Random
				-8.0      	283                 	0.840012120599112   	Random
				-7.0      	267                 	0.9807771212721367  	Random
				-6.0      	268                 	0.9686588223772696  	Random
				-5.0      	274                 	0.8963198452359471  	Random
				-4.0      	279                 	0.8182097398111252  	Random
				-3.0      	293                 	0.5864964683816202  	Random
				-2.0      	273                 	0.8409895053590102  	Random
				-1.0      	264                 	0.9653530050096963  	Random
				+1.0      	282                 	0.4602514812287004  	Random
				+2.0      	290                 	0.5306839293297211  	Random
				+3.0      	247                 	0.7265916917683778  	Random
				+4.0      	202                 	0.30098806785824317 	Random
				+5.0      	185                 	0.24673103283026832 	Random
				+6.0      	188                 	0.3132361649200315  	Random
				+7.0      	187                 	0.34737616692200857 	Random
				+8.0      	192                 	0.4129419915762603  	Random
				+9.0      	189                 	0.423325233606338   	Random
