Test Data File:F:/NetBeans Projects/ownSP9/Files/ownSP_P3K3 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.44094485633181135 	Random
02. Frequency Test within a Block                 	0.914691870378846   	Random
03. Run Test                                      	0.44332589465982186 	Random
04. Longest Run of Ones in a Block                	0.7888305007625154  	Random
05. Binary Matrix Rank Test                       	0.4467835255408552  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.9394563875750669  	Random
07. Non-Overlapping Template Matching Test        	0.44749678652311076 	Random
08. Overlapping Template Matching Test            	0.7645471631727869  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.7640873466068788  	Random
11. Serial test:
													0.779501870883119   	Random
													0.7730519826796437  	Random
12. Approximate Entropy Test                      	0.7218820258896952  	Random
13. Cummulative Sums (Forward) Test               	0.5564303940863963  	Random
14. Cummulative Sums (Reverse) Test               	0.12796808273826474 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.52046718501872    	0.4771496783164779  	Random
				-3        	4.586532620320856   	0.46838980645952843 	Random
				-2        	4.42087542087542    	0.4905393150089561  	Random
				-1        	3.8556149732620324  	0.5703856543444134  	Random
				+1        	2.7754010695187166  	0.7345642141657632  	Random
				+2        	5.74892718029973    	0.33142097289650424 	Random
				+3        	7.051730481283423   	0.216821390190076   	Random
				+4        	6.5907632069525395  	0.2528972830909346  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	188                 	0.9899938175977943  	Random
				-8.0      	193                 	0.9361522505089446  	Random
				-7.0      	175                 	0.8633611251128777  	Random
				-6.0      	143                 	0.4927166772270878  	Random
				-5.0      	136                 	0.3793746688088798  	Random
				-4.0      	152                 	0.49394819215920016 	Random
				-3.0      	151                 	0.4051295303634229  	Random
				-2.0      	150                 	0.2693326680372493  	Random
				-1.0      	162                 	0.19610818609418734 	Random
				+1.0      	209                 	0.25529050519961527 	Random
				+2.0      	245                 	0.08335618153643236 	Random
				+3.0      	290                 	0.017225395947685507	Random
				+4.0      	295                 	0.03479291288779521 	Random
				+5.0      	279                 	0.11279930382819167 	Random
				+6.0      	249                 	0.3337298374957358  	Random
				+7.0      	221                 	0.625827036785229   	Random
				+8.0      	223                 	0.6307714694104605  	Random
				+9.0      	240                 	0.5062522545465289  	Random
